date,open,high,low,close,volume
2020-09-16,130.9716,131.1219,130.5468,130.6967,249830
2020-09-17,130.6967,134.1931,129.5534,133.0293,1850173
2020-09-18,133.0293,136.2675,131.97,135.191,1321759
2020-09-21,135.191,138.6927,134.0457,137.5276,1758585
2020-09-22,137.5276,138.4677,137.2241,138.1628,421203
2020-09-23,138.1628,138.2864,137.8191,137.9425,184467
2020-09-24,137.9425,138.7785,135.4808,136.3069,1120307
2020-09-25,136.3069,139.5431,135.2482,138.4676,1370953
2020-09-28,138.4676,140.3104,133.062,134.8567,3002148
2020-09-29,134.8567,135.6718,132.4566,133.2621,1259590
2020-09-30,133.2621,133.2858,133.2165,133.2403,30356
2020-10-01,133.2403,133.3603,132.9063,133.0262,140593
2020-10-02,133.0262,135.4777,132.2242,134.6658,1158155
2020-10-05,134.6658,135.0911,134.533,134.9579,176088
2020-10-06,134.9579,135.193,134.2804,134.5147,396717
2020-10-07,134.5147,137.5039,133.5366,136.5114,1573182
2020-10-08,136.5114,136.965,136.3692,136.8225,259264
2020-10-09,136.8225,137.176,136.7137,137.067,199074
2020-10-12,137.067,138.222,133.6665,134.8024,1424079
2020-10-13,134.8024,136.1413,130.8638,132.1766,1773598
2020-10-14,132.1766,133.1788,129.2251,130.2124,1697628
2020-10-15,130.2124,133.8463,129.0243,132.6361,1650478
2020-10-16,132.6361,133.6034,129.7873,130.7408,1324330
2020-10-19,130.7408,132.9573,130.0159,132.2242,956988
2020-10-20,132.2242,134.0902,131.6146,133.4749,881875
2020-10-21,133.4749,134.4166,133.1705,134.1108,546513
2020-10-22,134.1108,134.203,133.8605,133.9526,152056
2020-10-23,133.9526,137.5148,132.7876,136.3292,1922808
2020-10-26,136.3292,136.7127,135.2092,135.5906,583025
2020-10-27,135.5906,136.3776,133.2735,134.0516,1244570
2020-10-28,134.0516,139.4955,132.2776,137.6736,2390853
2020-10-29,137.6736,137.8432,137.192,137.3613,273208
2020-10-30,137.3613,138.0797,137.1312,137.8488,352070
2020-11-02,137.8488,139.1757,133.9448,135.2466,2102411
2020-11-03,135.2466,137.8173,134.4056,136.9656,1037549
2020-11-04,136.9656,137.0364,136.9508,137.0217,29927
2020-11-05,137.0217,137.3267,136.9289,137.2338,160493
2020-11-06,137.2338,138.2292,134.3023,135.2835,1654454
2020-11-09,135.2835,138.0248,134.3867,137.1158,1253010
2020-11-10,137.1158,137.7713,135.1877,135.8372,829414
2020-11-11,135.8372,136.4681,133.9819,134.6071,797110
2020-11-12,134.6071,137.5043,133.6592,136.5428,1364957
2020-11-13,136.5428,140.914,135.1149,139.4556,2512575
2020-11-16,139.4556,144.6555,137.7594,142.9172,2148023
2020-11-17,142.9172,142.9911,142.7232,142.7971,83669
2020-11-18,142.7971,143.9125,142.4358,143.5493,560946
2020-11-19,143.5493,146.7065,134.3764,137.3983,3817827
2020-11-20,137.3983,138.799,133.2787,134.6514,1929384
2020-11-23,134.6514,135.0222,133.5688,133.9376,467591
2020-11-24,133.9376,135.9187,128.135,130.0587,2647239
2020-11-25,130.0587,130.4741,128.8429,129.2557,685134
2020-11-26,129.2557,130.9845,124.1849,125.8684,2830959
2020-11-27,125.8684,127.8331,120.1185,122.0232,3270589
2020-11-30,122.0232,127.5351,120.2298,125.6877,2648556
2020-12-01,125.6877,126.4695,123.3858,124.158,1464897
2020-12-02,124.158,124.8452,122.1351,122.8149,1016498
2020-12-03,122.8149,127.592,121.2574,125.9942,2294048
2020-12-04,125.9942,126.066,125.9783,126.0502,41580
2020-12-07,126.0502,126.2737,125.9839,126.2073,110706
2020-12-08,126.2073,126.3728,125.736,125.9011,220459
2020-12-09,125.9011,127.9859,125.2193,127.2966,1085834
2020-12-10,127.2966,132.6282,125.5599,130.8431,2707150
2020-12-11,130.8431,134.3835,129.6854,133.2049,1904770
2020-12-14,133.2049,133.3209,132.8829,132.9988,188897
2020-12-15,132.9988,133.2271,132.3408,132.5685,394619
2020-12-16,132.5685,134.4983,131.9379,133.8615,992223
2020-12-17,133.8615,135.6856,133.2658,135.0845,897885
2020-12-18,135.0845,136.775,134.5328,136.2187,891888
